#,,,,,
#,ID,degree,closeness,between,degreeness
string,1,1,0.997618126,0.999728421,0.996131528
file,2,1,0.996250502,0.993537358,0.997618126
finalize,3,1,0.99747806,0.980656448,0.996131528
encoding,4,1,0.994128087,,0.996131528
stream,5,1,0.994953148,,0.996131528
read,6,0.994350282,0.993089657,0.97381477,0.990503666
e,7,1,0.994953148,,0.996131528
unread,8,1,0.996846339,0.97393303,0.996131528
open,9,1,0.996539672,1.001063244,0.996131528
start,10,1.00877193,0.995810577,0.959382517,1.004869524
line,11,1,0.997181644,0.946877627,0.996131528
system,12,1,0.99773317,0.968085936,0.996131528
public,13,1,0.994953148,,0.996131528
bounds,14,1.016260163,1.002958856,1.070331585,1.012328789
preferred,15,1.030612245,0.995124309,0.860545065,1.02662535
pert,16,1,0.996038653,0.959070726,0.996131528
parameter,17,1,0.998056661,0.934644971,0.996131528
version,18,1,0.99864744,1.047845313,0.996131528
init,19,1.006993007,0.996167075,0.951319236,1.003097483
construct,20,1,0.99692936,1.003731198,0.996131528
finished,21,1,0.99692936,0.978957548,0.996131528
drawing,22,1.027027027,0.995998291,0.966061902,1.023054002
applet,23,1,0.998125217,0.993584718,0.996131528
run,24,1,0.997149556,1.005242573,0.996131528
abstract,25,1,0.998726273,1.002507547,0.996131528
application,26,1,0.99487508,0.994935576,0.996131528
component,27,1.02020202,0.999300127,0.975689176,1.016255397
create,28,1.04743083,1.008265637,1.055708097,1.043378873
save,29,1,0.99704083,1.008184644,0.996131528
has,30,1,0.997582609,1.195027583,0.996131528
dispose,31,1.010752688,1.000498928,0.947541635,1.00684262
action,32,0.994285714,0.994832509,0.977462387,0.990439348
put,33,1,0.995898495,0.871991741,0.996131528
execute,34,1,0.996292223,1,0.996131528
multiple,35,1,0.996706348,0.974905786,0.996131528
showing,36,1,0.995251497,0.920541707,0.996131528
mark,37,1,0.995251497,0.988647357,0.996131528
actions,38,1.025641026,0.998040168,1.013317673,1.021673362
configure,39,1,0.998046154,0.995999831,0.996131528
property,40,1,0.995567935,0.970115589,0.996131528
unconfigure,41,1,0.996350714,,0.996131528
restore,42,1.010526316,0.991255002,0.889083937,1.006617123
presentation,43,1.00952381,0.997321207,1.000659579,1.005618495
add,44,1.011764706,0.998037779,1.002663673,1.007850722
replace,45,1,0.996066071,0.957425231,0.996131528
redo,46,1.008928571,0.997853279,0.952676198,1.00502556
undo,47,1.008928571,0.997853279,0.952333182,1.00502556
options,48,1,0.99663557,,0.996131528
fractional,49,1,0.99663557,,0.996131528
text,50,1,0.996874988,1.001709657,0.996131528
s,51,1,0.997353916,0.983448481,0.996131528
view,52,1.027027027,0.995717726,0.980770248,1.023054002
editor,53,1,0.997623688,0.849485923,0.996131528
draw,54,1.031746032,1.001122726,1.023948071,1.027754751
layer,55,1.02,0.999449154,1.054981412,1.016054159
visible,56,1.05,0.99589405,1.729415862,1.045938104
transform,57,1.007518797,0.996613106,0.967187432,1.003621239
attribute,58,1.205882353,1.019290901,1.17028001,1.201217431
attributes,59,0.986666667,0.984414956,0.815471021,0.982849774
interactive,60,,,,
contains,61,0.983870968,0.989243589,1.064915583,0.98006489
cursor,62,1.026666667,0.99531972,1.074208034,1.022695035
tool,63,1.026086957,0.998372384,0.942745149,1.022117568
can,64,1.009803922,0.998520848,0.994125337,1.005897523
find,65,1.018181818,0.997471299,0.90342813,1.01424301
connectors,66,1.027777778,0.998052665,0.959845439,1.023801848
includes,67,1.027777778,0.998052665,0.841140217,1.023801848
decomposition,68,1.022727273,0.970945776,0,1.018770881
clone,69,1.032467532,0.998143763,1.022169299,1.028473461
remap,70,1.033333333,0.998211304,1.122477946,1.029335912
remove,71,1.015151515,0.998594093,0.999879178,1.01122443
will,72,1.022727273,0.970945776,0,1.018770881
changed,73,1.017241379,0.976591946,0.292482343,1.01330621
invalidate,74,1.024390244,0.997867445,1.025634321,1.020427419
request,75,1.015625,0.9975379,1.105832916,1.011696083
handle,76,1.036585366,0.99717917,1.067263472,1.032575364
bezier,77,1,0.996803045,0.997480495,0.996131528
location,78,1,0.99672773,0.942208094,0.996131528
basic,79,1.036363636,1.005807935,1.178119962,1.032354493
track,80,1.049180328,1.00417787,1.002985631,1.045121603
fire,81,1.059322034,0.990538489,0.850033488,1.055224076
combinable,82,1.057142857,1.009858784,1.168376107,1.05305333
figure,83,0.923809524,0.990547132,0.797620259,0.920235793
tab,84,1,0.997433179,1.091319619,0.996131528
font,85,1.030769231,0.996742226,1.136591935,1.026781729
fill,86,1,0.998052869,0.995251156,0.996131528
editable,87,1,0.997428128,0.647706968,0.996131528
label,88,1.037037037,1.003498183,0.689745607,1.033025288
write,89,0.993377483,0.993673251,0.919528881,0.989534631
o,90,1,0.996190477,1.008602109,0.996131528
window,91,1,0.996363037,1.001441142,0.996131528
palette,92,1,0.994985952,,0.996131528
toggle,93,1.068181818,1.027088905,0.0623394,1.064049587
update,94,1.007407407,1.000794563,1.069384572,1.00351028
current,95,1.04,0.998361377,1.418687677,1.035976789
append,96,1,0.998156873,,0.996131528
empty,97,1.029850746,0.993847481,1.00801068,1.025866798
delete,98,1.114285714,1.030113783,1.034236034,1.109975131
javax,99,1,0.997659679,0.938030214,0.996131528
builder,100,1,1.00841755,1.018688199,0.996131528
tag,101,1,1.003073891,1.655339806,0.996131528
element,102,1,0.995850258,0.975445341,0.996131528
close,103,1,0.998826294,1.036256704,0.996131528
validate,104,1.029126214,0.995882784,1.006304818,1.025145068
select,105,1.055555556,1.007109257,1.122344109,1.051472168
print,106,1.075471698,1.011296627,0.983612245,1.071311266
clear,107,0.901785714,0.987906582,0.57370003,0.898297182
encode,108,1,0.994613409,,0.996131528
decode,109,1,0.994613409,,0.996131528
flush,110,1,0.994613409,,0.996131528
suspend,111,1,0.994613409,,0.996131528
resume,112,1,0.994613409,,0.996131528
interpolate,113,1,0.998935088,,0.996131528
convert,114,1,0.998352079,0.996127163,0.996131528
index,115,1,0.98444595,0.935379154,0.996131528
anti,116,1,0.998256196,1.060092869,0.996131528
raster,117,1,0.998935088,,0.996131528
color,118,1.214285714,1.034904312,2.01644373,1.209588284
shapes,119,1,0.998380206,,0.996131528
outline,120,1,0.999384076,1.003891051,0.996131528
arrange,121,1,0.99549724,0.99068807,0.996131528
owner,122,1.069767442,1.004473927,1.652866351,1.065629077
to,123,1.012578616,1.000091559,1.055034799,1.008661484
class,124,1.048780488,1.009722082,1.087394451,1.04472331
stroke,125,1,0.997603737,1.003566977,0.996131528
apply,126,1,0.997596515,0.992267582,0.996131528
image,127,1,0.998453849,1.006365368,0.996131528
output,128,1,0.999269377,1.33088551,0.996131528
decorated,129,1,0.997049437,,0.996131528
