,r362,,,r397,,,r516,,,
ID,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêîÇÃsd
1,0.091085271,0.000829187,1169.756058,,,,0.069620253,0.00069979,1201.978789,0.000230374
2,0.114341085,0.000730994,763.354537,0.022371365,0.000500751,17.8101753,0.099683544,0.000677966,1164.212445,0.002441741
3,0.114341085,0.000861326,4872.587794,,,,0.09335443,0.000720981,4343.746405,0.00022022
4,0.023255814,0.000728332,181.1823398,,,,0.018987342,0.000616523,152.2785926,9.10993E-06
5,0.023255814,0.000629327,0,,,,0.018987342,0.000534759,0,9.10993E-06
6,0.343023256,0.000874891,7747.543093,0.44966443,0.00058309,6178.934033,0.346518987,0.000801925,9748.587322,0.00367059
7,0.023255814,0.000629327,0,0.020134228,0.000471698,4.528138453,0.018987342,0.000534759,0,4.87992E-06
8,0.054263566,0.000716332,121.3644719,,,,0.045886076,0.00061237,106.8622047,3.50912E-05
9,0.137596899,0.000705219,400.7061831,0.07606264,0.00054407,54.36521612,0.113924051,0.000692521,805.9906156,0.000963393
10,0.220930233,0.000827815,2272.530576,0.217002237,0.000549753,2016.234626,0.194620253,0.000693481,1718.721674,0.000201433
11,0.215116279,0.000826446,3432.247779,0.082774049,0.000527983,748.8404608,0.188291139,0.000729395,3472.649959,0.004894652
12,0.071705426,0.000686342,33.43523373,,,,0.085443038,0.000702741,422.6221454,9.4361E-05
14,0.275193798,0.000831947,2250.676326,0.18344519,0.00054615,1258.241784,0.330696203,0.000783085,8077.286104,0.005530197
49,0.199612403,0.000812348,2885.991159,0.134228188,0.000548546,916.597606,0.181962025,0.000757002,3527.486925,0.001144192
15,0.488372093,0.000909918,9446.173815,0.617449664,0.000582751,9144.885928,0.509493671,0.000803859,11675.97147,0.004793606
16,0.178294574,0.000816327,1276.312216,0.111856823,0.000550661,1088.295794,0.143987342,0.000708717,641.1176335,0.001103889
17,0.339147287,0.000837521,6561.269728,0.172259508,0.000553403,884.5270114,0.325949367,0.00078064,9933.426487,0.008607715
50,0.102713178,0.000738007,1205.05884,0.07606264,0.00054407,54.36521612,0.07278481,0.000606061,241.7088774,0.00026945
51,0.189922481,0.000816327,1264.000497,0.026845638,0.000527704,28.0526241,0.226265823,0.00074239,2788.447369,0.011280551
52,0.11627907,0.000738552,391.1771001,0.07606264,0.00054407,54.36521612,0.096518987,0.000710227,424.4694543,0.000404381
53,0.15503876,0.000831255,741.3794487,0.161073826,0.000558659,1350.832212,0.118670886,0.000657462,178.4942216,0.000526176
54,0.083333333,0.000665779,71.71912899,0.020134228,0.000493827,2.75189229,0.125,0.00074239,1469.624788,0.002787845
55,0.054263566,0.00060024,1.724645463,0.178970917,0.000539665,784.7280362,0.044303797,0.000668003,17.86922244,0.005631059
56,0.065891473,0.000825083,1796.09743,,,,0.07278481,0.000668003,1123.085525,2.3759E-05
57,0.042635659,0.000786782,56.54834497,,,,0.044303797,0.000668003,17.86922244,1.39134E-06
18,0.093023256,0.00076864,715.1289069,,,,0.094936709,0.000696379,258.1260664,1.83065E-06
19,0.207364341,0.000798085,1091.775942,0.042505593,0.000528262,316.3346373,0.265822785,0.000786164,3959.376671,0.013411061
352,0.075581395,0.000801925,254.9046114,,,,0.115506329,0.00070028,584.2060441,0.000797
59,0.156976744,0.000789889,2104.915925,0.006711409,0.000429,0.047619048,0.140822785,0.000691085,1184.798433,0.006804414
20,0.143410853,0.000799361,930.7899667,0.313199105,0.000554631,2039.170348,0.142405063,0.00073046,1996.127565,0.009666611
21,0.158914729,0.00075358,522.8024055,0.165548098,0.000522466,184.1637304,0.164556962,0.000671141,682.3272225,1.28031E-05
60,0.492248062,0.000921659,9189.496138,0.532438479,0.000577034,5533.109589,0.476265823,0.000788022,8627.152474,0.000837678
128,0.135658915,0.000789889,2353.494022,,,,0.115506329,0.000659631,725.6131211,0.000203063
129,0.257751938,0.000791139,2320.478395,0.053691275,0.000532198,33.17604573,0.21835443,0.000666667,1894.402012,0.011717812
130,0.36627907,0.000883392,6417.891975,0.498881432,0.000566893,4300.608228,0.313291139,0.000735835,3441.585794,0.009139144
