#0		0	0	0
1	string	12	5	23
2	file	44	30	35
3	finalize	26	3	6
4	encoding	2		16
5	stream	4	1	9
6	read	102	90	85
7	e	4		25
8	unread	6		
9	open	30	26	29
10	start	36	33	110
11	line	30	1	5
12	system	10		3
13	public	4		7
14	bounds	68		
15	preferred	24		
16	pert	10		
17	parameter	16	3	17
18	version	16	11	11
19	init	98	40	114
20	construct	42	2	1
21	finished	42	9	1
22	drawing	66		
23	applet	10		
24	run	40	25	65
25	abstract	40	6	14
26	application	16		20
27	component	30		
28	create	172	51	114
29	save	20		13
30	has	26	10	53
31	dispose	34	5	
32	action	156		13
33	put	14	10	18
34	execute	4	3	37
35	multiple	8	3	
36	showing	4		
37	mark	4	12	9
38	actions	8		
39	configure	14	1	12
40	property	92	1	30
41	unconfigure	2		
42	restore	52		4
43	presentation	54		
44	add	150	48	211
45	replace	16	3	7
46	redo	66		
47	undo	66		
48	options	2		6
49	fractional	2		
50	text	30	1	7
51	s	42	6	41
52	view	56		2
53	editor	52		
54	draw	152		
55	layer	8		
56	visible	10		
57	transform	72	1	
58	attribute	90	5	54
59	attributes	22	3	18
61	contains	62	4	16
62	cursor	30		
63	tool	66	1	1
64	can	66	1	2
65	find	76	6	75
66	connectors	4		
67	includes	4	1	
68	decomposition	6		
69	clone	102	5	21
70	remap	12		
71	remove	88	20	150
72	will	6		1
73	changed	16	2	
74	invalidate	36		7
75	request	12	2	69
76	handle	24	7	27
77	bezier	32		
78	location	20	3	11
79	basic	54		2
80	track	52		1
81	fire	38		16
82	combinable	14		
83	figure	38		
84	tab	10	1	1
85	font	22		
86	fill	20	2	11
87	editable	12		
88	label	12		
89	write	84	89	66
90	o	44	2	1
91	window	12	2	
92	palette	2		
93	toggle	22		
94	update	88	21	18
95	current	6	13	11
96	append	2	19	15
97	empty	28	2	8
98	delete	6	19	13
99	javax	4		
100	builder	6		
101	tag	6	9	31
102	element	20	1	4
103	close	26	53	80
104	validate	18	2	21
105	select	16	3	3
106	print	10	13	18
107	clear	28	15	47
108	encode	2	3	14
109	decode	2	5	9
110	flush	2	22	35
111	suspend	2		
112	resume	2		4
113	interpolate	2		
114	convert	2	2	20
115	index	20	3	12
116	anti	4		3
117	raster	2		
118	color	8		
119	shapes	2		
120	outline	4		
121	arrange	4		
122	owner	26	6	2
123	to	46	77	177
124	class	8	7	42
125	stroke	12		
126	apply	20	5	4
127	image	20	1	7
128	output	16	8	29
130	decorator	12		
131	load	12	6	39
132	grid	10		
133	scale	16		
134	nano	4		
135	prototype	10		1
136	doctype	6		1
137	new	10	21	37
138	default	54	17	28
139	focus	12		
140	area	28		
141	active	26	1	9
142	enabled	22		7
143	quad	8		
144	reorganize	2		
145	leaf	6	2	
146	split	10	3	1
147	join	6	3	2
148	child	20		6
149	layouter	6		
150	layout	14		
151	delegation	2	2	
152	mouse	26		
153	show	18		
154	creation	10		9
155	activate	20		1
156	deactivate	24		
157	created	6		
158	added	4		
159	paste	2		
160	item	10		4
161	column	2		2
162	popup	4		
163	perform	2	3	1
164	finish	2	14	10
165	entity	4		2
166	external	4		3
167	shared	10		1
168	ellipse	4		
169	old	4		
170	connection	12	3	8
171	connect	8	4	12
172	disconnect	6	1	8
173	target	14		2
174	launch	10		
175	hide	12		
176	sharing	10		
177	end	28	24	41
178	result	4	1	
179	install	12		5
180	uninstall	8		1
181	event	30	2	27
182	selection	32		
183	bdescriptor	26		
184	pdescriptor	26		
185	edescriptor	26		
186	mdescriptor	26		
187	bean	26		8
188	method	26	2	35
189	input	26	17	28
190	transfer	10	1	3
191	flavor	22		
192	cut	2		
193	width	14		1
194	height	14		1
195	generic	2	3	2
196	invoke	4	7	50
197	proxy	2	3	7
198	null	6	6	8
199	listener	2	1	5
200	raise	2		2
201	change	6	2	8
202	exit	2	1	
203	option	18		5
204	review	2		
205	do	8	16	114
206	validator	4		2
207	resolver	4		
208	reader	6	4	8
209	parse	14	15	51
210	scan	4		8
211	process	6	9	52
212	graphics	2		
213	destination			3
214	make	14	14	13
215	wrap	6	2	6
216	copy	4	16	44
217	coerce	2		9
218	multiply	2		1
219	divide	2		1
220	i	2	4	9
221	b	4	4	6
222	mult	2		
223	diamond	2		
224	insets	4		
225	top	2	1	1
226	left	4		2
227	bottom	2		
228	right	2		
229	subtract	2		1
230	equals	16	40	57
231	hash	12	45	55
232	float	2	3	
233	double	18	2	2
234	grow	4	1	
235	insert	12	1	1
236	smart	2		
237	path	12	13	26
238	flatten	10		
239	closed	4	1	5
240	capped	2		
241	node	10	4	10
242	point	8		
243	real	4	1	19
244	name	22	29	120
245	enum	4		1
246	teddy	4		
247	scrollable	4		
248	caret	2		
249	status	2	1	15
250	accessory	2		
251	document	6		3
252	numbered	6		
253	move	14	6	1
254	south	18		
255	north	18		
256	east	18		
257	west	18		
258	full	6		2
259	namespace	6		7
260	type	2	23	39
261	preferences	2		
262	resource	2	2	26
263	rubberband	2		
264	begin	4	2	20
265	delegate	2		4
266	p	6		1
267	missing	2		
268	unexpected	2		
269	invalid	2	2	4
270	validation	4		2
271	bring	10		
272	send	12	3	58
273	ensure	6	3	3
274	canvas	8		
275	undoable	10		
276	linear	6		
277	buffered	6		2
278	project			2
279	geom	2		
280	direction	4		
281	outcode	2		
282	center	8		
283	range	2	1	
284	length	4	20	8
285	angle	4		
286	polar	2		
287	oval	2		
288	intersect	2		
289	distance	2	1	
290	minimize	2		
291	frame	8		
292	ancestor	2	1	1
293	selected	4		
294	compatible	4	1	1
295	constrainer	8		
296	geometry	2		
297	excluded	4	1	1
298	radial	6		
299	radius	2		
300	border	4		
301	sheet	4		
302	animated	2		
303	style	6		
304	native	2	9	
305	matcher	2		1
306	match	2		10
307	reset	8	39	50
308	word	4		
309	copyright	8		
310	sticky	2		
311	parameters	2	1	11
312	about	2		
313	paint	26		
314	relative	16		4
315	my			1
316	mnemonic	2		
317	title	8		
318	root	2		11
319	gradient	4		
320	stops	4		
321	c	6	7	4
322	f	2	10	2
323	r	2	3	
324	stop	12	15	86
325	net	10	1	
326	invalidated	4		3
327	x	16	2	12
328	y	12		
329	arc	10		
330	hit	6		1
331	transformed	12		
332	defaults	4		1
333	perpendicular	6		
334	handlesize	4		
335	initialize		21	10
336	startup		1	2
337	shutdown		5	6
338	destroy		7	57
340	number	2	3	3
341	page	2		19
342	printable	2		
343	rendering	4		
344	locator	8		
345	skip	2	17	15
346	check	4	25	58
347	error	2	3	42
348	field	2	5	7
350	model	6		
351	l	4		
352	maximize	2		
353	bundle	2		
354	integer	6	1	2
355	mnem	2		
356	tip	2		
357	key	14	14	13
358	acc	2		
359	formatted	2	1	
360	base	2		16
361	duplicate	6		2
362	fetch	2	1	
363	character	2		16
364	dependency	2		
365	chop	12		
366	connector	4		8
367	bidirectional	2		
368	views	4		
369	task	2	1	7
370	duration	2		1
371	dependencies	2		
372	successors	2		
373	predecessors	2		
374	dependent	2		
375	floating	4		2
376	storable	2		
377	lineout	10		
378	triangle	4		
379	arrangeable	2		
380	arrangement	4		
381	methods	2		1
382	build	2	4	4
383	exception	2	2	15
384	d	2	4	4
385	cycle	2		
386	colors	4		
387	fractions	2		
388	transparency	2		
389	edit	8		
390	reversed	2		
391	size	6	16	23
392	constrain	6		
393	parent	4	5	28
394	iterate	4		
395	children	6	3	2
396	first	4	3	4
397	content	4	2	40
398	sort	6	5	1
399	zoom	4		
400	tracker	2		1
401	round	4		
402	locate	10		1
403	multi	2		
404	labels	2		
405	locale	4		20
406	discard	2		2
407	selector	2	1	5
408	matches	2	2	2
409	composite	10	1	2
410	verbose	2		1
411	significant	2		
412	rotate	6		1
413	group	6	7	8
414	liner	4		
415	reverse	2	1	2
416	coordinates	2		
417	rotates	2		
418	m	2	8	25
419	tile	2		
420	all	2	5	8
421	normal	2		
422	scroll	2		
423	resize	4		4
424	initial	4	8	10
425	worker	2		4
426	pane	2		
427	compare	4	32	14
428	connecting	2		
429	icon	6		
430	export	10		
431	figures	2		
432	lock	6	1	10
433	ungroup	6		
434	modified			4
435	factory	2	3	15
436	button	2		
437	rectangle	2		
438	properties	4		5
439	trace	2		2
440	compute	4	2	
441	repaint	8		
442	description	4	5	19
443	decoration	6		
444	general	2		
445	fixed	2		1
446	calculate	4	3	1
447	cyclic	2		
448	minimum	8	1	1
449	maximum	6	1	
450	labeled	2		
451	graphical	2		
452	super	2		1
453	styled	2		
454	rebuild	2		
455	lost	4		
456	palettes	2		
457	focused	4		
458	maybe	2		2
459	non	2		5
460	pick	2		
461	assignable	2		2
462	mode	2	1	
463	ignore	2		6
464	previous	2	3	4
465	next	8	12	45
466	winding	6		
467	done	2	7	1
468	pretty	2		1
469	id	2	4	18
470	viewport	2		
471	identify	2		
472	drag	4		
473	straight	2		
